Receive	Gender	HP	Atk	Def	Spe	SpA	SpD	Nature	Ability	Held item	OT	ID	Give	Location
Elephas Pajeet	F	20	15	17	24	23	22	Lax	Telepathy	-	Gavin (M)	01505	Middril	Animango City
Bongecko Munchies	M	18	17	18	22	25	21	Quirky	White Smoke	Weed	Seth (M)	30863	Bacub	Beehive City
Wastenaut Garbage	F	20	16	14	7	12	30	Modest	Battle Armor	Mental Herb	Hazel (M)	22051	Polossus	Outcast Island
Flowre Rusemaster	F	31	21	17	19	25	22	Jolly	Levitate	Masta Ball	Bideo (M)	01831	Knogoat	Esfores City
Praunch Crocker	F	9	26	19	14	15	16	Naïve	Swift Swim	Salac Berry	Squatz (M)	16402	Gutsifly	Gadech City
Sadrog Feelio	F	10	24	14	17	20	20	Gentle	Overgrow	Escape Rope	Broker (M)	57178	Sadfish	Outcast Island
Diobat Menacing	M	8	18	11	15	19	22	Rash	Regenerator	-	Robert (M)	17779	Machmona	Animango City
Cirpent Clown type	F	29	9	16	20	4	31	Adamant	Magic Bounce	Poké Doll	Mark (M)	36754	Docee	Pa'ia University
Baloofang OH YEAH	F	30	26	25	27	16	23	Timid	Aftermath	Flame Orb	Chungus (M)	04421	Baloofang	Get Island
Pearchie WutPear	F	9	28	30	20	16	26	Relaxed	Reckless	White Herb	Phil (M)	31344	Walruskie	Get Island
Pasdawg Toadagi	F	0	31	31	0	0	31	Hardy	Intimidate	Protein	Royce (M)	28182	Tikoon	Get Island
Pyongnome Pyongnome	F	12	26	18	14	28	29	Brave	Intimidate	Monster Ball	Richard (M)	49662	Fuermiga	Checkem Island
Gangnome Gangnome	F	30	14	19	16	24	22	Naughty	Soundproof	Choice Specs	Johnson (M)	28801	Apartmant	Checkem Island
Blobbos Bloober	-	31	31	31	13	31	31	Rash	Pure Power	-	Bodmod (M)	07929	Lankong	Trips Island
